,Current Class,FACTOR: COST,FACTOR: LOCATION,FACTOR: PROGRAM,FACTOR: ONLINE,FACTOR: REFERRAL,FACTOR: STAFF,FACTOR: COLLEGE REPUTATION,FACTOR: FINANCIAL AID,FACTOR: SCHOLARSHIPS,FACTOR: CLASS SIZE (S),FACTOR: OPPORTUNITY,FACTOR: TRANSFERING IN,FACTOR: PAST NEGATIVE EXPERIENCE,FACTOR: NJ STARS,FACTOR: TRANSFERING OUT,FACTOR: CREDIT IN HIGHSCHOOL,DEGREE/PROGRAM,CONTINUED INTEREST (1-5),INTEREST: WEB DEVELOPMENT,INTEREST: CYBERSECURITY,INTEREST: APP DEVELOPMENT,INTEREST: DATA ANALYTICS,INTEREST: ARTIFICIAL INTELLIGENCE,INTEREST: COMPUTER PROGRAMMING,INTEREST: GAME DESIGN,INTEREST: HARDWARE INSTALLATION & REPAIR,Age
74,CMP 135 Computer Concepts with Applications,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,3,No,No,No,No,No,No,No,No,19-20
75,CMP 135 Computer Concepts with Applications,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Radiography,2,No,No,No,No,No,No,Yes,No,21-24
76,CMP 135 Computer Concepts with Applications,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,,,High Impact,High Impact,High Impact,Criminal Justice,3,No,Yes,No,No,No,Yes,Yes,No,21-24
77,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Radiography,2,No,Yes,No,No,No,No,No,No,18 and younger
78,CMP 135 Computer Concepts with Applications,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Exercise Science,2,No,No,No,Yes,No,No,No,No,19-20
79,CMP 135 Computer Concepts with Applications,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,,High Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,,No Impact,Exercise Science,1,No,No,No,No,No,No,No,No,19-20
80,CMP 135 Computer Concepts with Applications,Some Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Exercise Science,3,No,Yes,Yes,Yes,No,No,No,No,19-20
81,CMP 135 Computer Concepts with Applications,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,2,No,No,No,No,No,No,No,No,21-24
82,CMP 135 Computer Concepts with Applications,High Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Music Technology,1,No,No,No,No,No,No,No,No,19-20
83,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,,No Impact,Exercise Science,1,No,No,No,No,No,No,No,No,21-24
